[2026-07-19T15:54:41.880Z] [INFO] AI workers disabled (default) - all workers run local-only. Enable with `daemon start --headless`, daemon.aiWorkers.enabled=true, or RUFLO_DAEMON_AI_WORKERS=1 (#2661)
[2026-07-19T15:54:41.881Z] [INFO] Scheduled map (interval: 900s, first run in 0s)
[2026-07-19T15:54:41.881Z] [INFO] Scheduled audit (interval: 600s, first run in 120s)
[2026-07-19T15:54:41.881Z] [INFO] Scheduled optimize (interval: 900s, first run in 240s)
[2026-07-19T15:54:41.881Z] [INFO] Scheduled consolidate (interval: 1800s, first run in 360s)
[2026-07-19T15:54:41.881Z] [INFO] Scheduled testgaps (interval: 1200s, first run in 480s)
[2026-07-19T15:54:41.881Z] [INFO] Scheduled backup (interval: 86400s, first run in 600s)
[2026-07-19T15:54:41.881Z] [INFO] Scheduled harness (interval: 21600s, first run in 720s)
[2026-07-19T15:54:41.881Z] [INFO] Lifecycle monitor active (workspace-removal, ttl=43200s)
[2026-07-19T15:54:41.882Z] [INFO] Daemon started (PID: 387811, CPUs: 20, workers: 7, maxCpuLoad: 1000, minFreeMemoryPercent: 10%)
[2026-07-19T15:54:41.883Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-19T15:54:41.884Z] [INFO] Worker map completed in 1ms
[2026-07-19T15:56:52.808Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-19T15:56:52.809Z] [INFO] Worker audit completed in 1ms
[2026-07-19T15:59:03.737Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-19T15:59:03.737Z] [INFO] Worker optimize completed in 0ms
[2026-07-19T16:01:10.914Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-19T16:01:10.915Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-19T16:01:10.915Z] [INFO] Worker consolidate completed in 1ms
[2026-07-19T16:03:25.576Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-19T16:03:25.576Z] [INFO] Worker testgaps completed in 1ms
[2026-07-19T16:05:36.512Z] [INFO] Starting worker: backup (1/2 concurrent)
[2026-07-19T16:05:36.513Z] [INFO] Worker backup completed in 1ms
[2026-07-19T16:07:47.447Z] [INFO] Starting worker: harness (1/2 concurrent)
[2026-07-19T16:07:47.454Z] [INFO] Worker harness completed in 8ms
[2026-07-19T16:07:47.454Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-19T16:07:47.454Z] [INFO] Worker audit completed in 0ms
[2026-07-19T16:11:03.825Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-19T16:11:03.826Z] [INFO] Worker map completed in 2ms
[2026-07-19T16:15:26.213Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-19T16:15:26.213Z] [INFO] Worker optimize completed in 1ms
[2026-07-19T16:18:38.320Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-19T16:18:38.320Z] [INFO] Worker audit completed in 0ms
[2026-07-19T16:25:09.316Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-19T16:25:09.316Z] [INFO] Worker testgaps completed in 1ms
[2026-07-19T16:27:19.930Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-19T16:27:19.930Z] [INFO] Worker map completed in 1ms
[2026-07-19T16:29:31.179Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-19T16:29:31.179Z] [INFO] Worker audit completed in 0ms
[2026-07-19T16:31:42.082Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-19T16:31:42.082Z] [INFO] Worker optimize completed in 0ms
[2026-07-19T16:33:53.008Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-19T16:33:53.008Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-19T16:33:53.008Z] [INFO] Worker consolidate completed in 0ms
[2026-07-19T16:40:15.186Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-19T16:40:15.186Z] [INFO] Worker audit completed in 1ms
[2026-07-19T16:43:31.053Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-19T16:43:31.053Z] [INFO] Worker map completed in 0ms
[2026-07-19T16:46:47.435Z] [INFO] Starting worker: testgaps (1/2 concurrent)
